Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P01730	CD4_HUMAN	reviewed	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	CD4	Homo sapiens (Human)	458
P25942	TNR5_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)	CD40 TNFRSF5	Homo sapiens (Human)	277
P16234	PGFRA_HUMAN	reviewed	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	PDGFRA PDGFR2 RHEPDGFRA	Homo sapiens (Human)	1089
P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
Q9NNX6	CD209_HUMAN	reviewed	CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209)	CD209 CLEC4L	Homo sapiens (Human)	404
P28906	CD34_HUMAN	reviewed	Hematopoietic progenitor cell antigen CD34 (CD antigen CD34)	CD34	Homo sapiens (Human)	385
P17301	ITA2_HUMAN	reviewed	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	ITGA2 CD49B	Homo sapiens (Human)	1181
P15529	MCP_HUMAN	reviewed	Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46)	CD46 MCP MIC10	Homo sapiens (Human)	392
P15941	MUC1_HUMAN	reviewed	Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	MUC1 PUM	Homo sapiens (Human)	1255
Q9H2X3	CLC4M_HUMAN	reviewed	C-type lectin domain family 4 member M (CD209 antigen-like protein 1) (DC-SIGN-related protein) (DC-SIGNR) (Dendritic cell-specific ICAM-3-grabbing non-integrin 2) (DC-SIGN2) (Liver/lymph node-specific ICAM-3-grabbing non-integrin) (L-SIGN) (CD antigen CD299)	CLEC4M CD209L CD209L1 CD299	Homo sapiens (Human)	399
P08962	CD63_HUMAN	reviewed	CD63 antigen (Granulophysin) (Lysosomal-associated membrane protein 3) (LAMP-3) (Melanoma-associated antigen ME491) (OMA81H) (Ocular melanoma-associated antigen) (Tetraspanin-30) (Tspan-30) (CD antigen CD63)	CD63 MLA1 TSPAN30	Homo sapiens (Human)	238
P30203	CD6_HUMAN	reviewed	T-cell differentiation antigen CD6 (T12) (TP120) (CD antigen CD6) [Cleaved into: Soluble CD6]	CD6	Homo sapiens (Human)	668
P08575	PTPRC_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	PTPRC CD45	Homo sapiens (Human)	1304
P42081	CD86_HUMAN	reviewed	T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86)	CD86 CD28LG2	Homo sapiens (Human)	329
P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032
P25445	TNR6_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335
P33681	CD80_HUMAN	reviewed	T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80)	CD80 CD28LG CD28LG1 LAB7	Homo sapiens (Human)	288
P16410	CTLA4_HUMAN	reviewed	Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152)	CTLA4 CD152	Homo sapiens (Human)	223
P26842	CD27_HUMAN	reviewed	CD27 antigen (CD27L receptor) (T-cell activation antigen CD27) (T14) (Tumor necrosis factor receptor superfamily member 7) (CD antigen CD27)	CD27 TNFRSF7	Homo sapiens (Human)	260
P25063	CD24_HUMAN	reviewed	Signal transducer CD24 (Small cell lung carcinoma cluster 4 antigen) (CD antigen CD24)	CD24 CD24A	Homo sapiens (Human)	80
P48960	CD97_HUMAN	reviewed	CD97 antigen (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: CD97 antigen subunit alpha; CD97 antigen subunit beta]	CD97	Homo sapiens (Human)	835
P21926	CD9_HUMAN	reviewed	CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9)	CD9 MIC3 TSPAN29 GIG2	Homo sapiens (Human)	228
Q9UIB8	SLAF5_HUMAN	reviewed	SLAM family member 5 (Cell surface antigen MAX.3) (Hly9-beta) (Leukocyte differentiation antigen CD84) (Signaling lymphocytic activation molecule 5) (CD antigen CD84)	CD84 SLAMF5	Homo sapiens (Human)	345
P15813	CD1D_HUMAN	reviewed	Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d)	CD1D	Homo sapiens (Human)	335
P20701	ITAL_HUMAN	reviewed	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a)	ITGAL CD11A	Homo sapiens (Human)	1170
P06729	CD2_HUMAN	reviewed	T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	CD2 SRBC	Homo sapiens (Human)	351
P15391	CD19_HUMAN	reviewed	B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19)	CD19	Homo sapiens (Human)	556
P13688	CEAM1_HUMAN	reviewed	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a)	CEACAM1 BGP BGP1	Homo sapiens (Human)	526
P60033	CD81_HUMAN	reviewed	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
P15144	AMPN_HUMAN	reviewed	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	ANPEP APN CD13 PEPN	Homo sapiens (Human)	967
Q8NHL6	LIRB1_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j)	LILRB1 ILT2 LIR1 MIR7	Homo sapiens (Human)	650
P07766	CD3E_HUMAN	reviewed	T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e)	CD3E T3E	Homo sapiens (Human)	207
Q9UGN4	CLM8_HUMAN	reviewed	CMRF35-like molecule 8 (CLM-8) (CD300 antigen-like family member A) (CMRF-35-H9) (CMRF35-H9) (CMRF35-H) (IRC1/IRC2) (Immunoglobulin superfamily member 12) (IgSF12) (Inhibitory receptor protein 60) (IRp60) (NK inhibitory receptor) (CD antigen CD300a)	CD300A CMRF35H IGSF12 HSPC083	Homo sapiens (Human)	299
Q14108	SCRB2_HUMAN	reviewed	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	SCARB2 CD36L2 LIMP2 LIMPII	Homo sapiens (Human)	478
Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
Q6YHK3	CD109_HUMAN	reviewed	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)	CD109 CPAMD7	Homo sapiens (Human)	1445
P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
P20138	CD33_HUMAN	reviewed	Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33)	CD33 SIGLEC3	Homo sapiens (Human)	364
Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
P28908	TNR8_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)	TNFRSF8 CD30 D1S166E	Homo sapiens (Human)	595
P11836	CD20_HUMAN	reviewed	B-lymphocyte antigen CD20 (B-lymphocyte surface antigen B1) (Bp35) (Leukocyte surface antigen Leu-16) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20)	MS4A1 CD20	Homo sapiens (Human)	297
P48509	CD151_HUMAN	reviewed	CD151 antigen (GP27) (Membrane glycoprotein SFA-1) (Platelet-endothelial tetraspan antigen 3) (PETA-3) (Tetraspanin-24) (Tspan-24) (CD antigen CD151)	CD151 TSPAN24	Homo sapiens (Human)	253
P02730	B3AT_HUMAN	reviewed	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)	SLC4A1 AE1 DI EPB3	Homo sapiens (Human)	911
P15812	CD1E_HUMAN	reviewed	"T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e) [Cleaved into: T-cell surface glycoprotein CD1e, soluble (sCD1e)]"	CD1E	Homo sapiens (Human)	388
Q8TDQ1	CLM1_HUMAN	reviewed	CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Immune receptor expressed on myeloid cells 1) (IREM-1) (Immunoglobulin superfamily member 13) (IgSF13) (NK inhibitory receptor) (CD antigen CD300f)	CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111	Homo sapiens (Human)	290
Q03001	DYST_HUMAN	reviewed	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
Q15762	CD226_HUMAN	reviewed	CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226)	CD226 DNAM1	Homo sapiens (Human)	336
P20702	ITAX_HUMAN	reviewed	"Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)"	ITGAX CD11C	Homo sapiens (Human)	1163
P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051
Q08722	CD47_HUMAN	reviewed	Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47)	CD47 MER6	Homo sapiens (Human)	323
O75326	SEM7A_HUMAN	reviewed	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A CD108 SEMAL	Homo sapiens (Human)	666
P11215	ITAM_HUMAN	reviewed	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A	Homo sapiens (Human)	1152
P20273	CD22_HUMAN	reviewed	B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22)	CD22 SIGLEC2	Homo sapiens (Human)	847
P01920	DQB1_HUMAN	reviewed	"HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)"	HLA-DQB1 HLA-DQB	Homo sapiens (Human)	261
Q10589	BST2_HUMAN	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180
P28907	CD38_HUMAN	reviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38)	CD38	Homo sapiens (Human)	300
P23229	ITA6_HUMAN	reviewed	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	ITGA6	Homo sapiens (Human)	1130
P40259	CD79B_HUMAN	reviewed	B-cell antigen receptor complex-associated protein beta chain (B-cell-specific glycoprotein B29) (Ig-beta) (Immunoglobulin-associated B29 protein) (CD antigen CD79b)	CD79B B29 IGB	Homo sapiens (Human)	229
P05106	ITB3_HUMAN	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	ITGB3 GP3A	Homo sapiens (Human)	788
P06126	CD1A_HUMAN	reviewed	T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a)	CD1A	Homo sapiens (Human)	327
P32970	CD70_HUMAN	reviewed	CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70)	CD70 CD27L CD27LG TNFSF7	Homo sapiens (Human)	193
P20963	CD3Z_HUMAN	reviewed	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	CD247 CD3Z T3Z TCRZ	Homo sapiens (Human)	164
Q5ZPR3	CD276_HUMAN	reviewed	CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276)	CD276 B7H3 PSEC0249 UNQ309/PRO352	Homo sapiens (Human)	534
P09693	CD3G_HUMAN	reviewed	T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)	CD3G T3G	Homo sapiens (Human)	182
A4D1B1	A4D1B1_HUMAN	unreviewed	"CD36 antigen (Collagen type I receptor, thrombospondin receptor) (CD36 antigen (Collagen type I receptor, thrombospondin receptor), isoform CRA_a) (CD36 molecule isoform 1) (cDNA, FLJ93369, highly similar to Homo sapiens CD36 antigen (collagen type I receptor, thrombospondinreceptor) (CD36), mRNA)"	CD36 hCG_17062 tcag7.257	Homo sapiens (Human)	472
P16422	EPCAM_HUMAN	reviewed	Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1	Homo sapiens (Human)	314
P08648	ITA5_HUMAN	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	ITGA5 FNRA	Homo sapiens (Human)	1049
P78324	SHPS1_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type substrate 1 (SHP substrate 1) (SHPS-1) (Brain Ig-like molecule with tyrosine-based activation motifs) (Bit) (CD172 antigen-like family member A) (Inhibitory receptor SHPS-1) (Macrophage fusion receptor) (MyD-1 antigen) (Signal-regulatory protein alpha-1) (Sirp-alpha-1) (Signal-regulatory protein alpha-2) (Sirp-alpha-2) (Signal-regulatory protein alpha-3) (Sirp-alpha-3) (p84) (CD antigen CD172a)	SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP	Homo sapiens (Human)	504
P08473	NEP_HUMAN	reviewed	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	MME EPN	Homo sapiens (Human)	750
P19256	LFA3_HUMAN	reviewed	Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58)	CD58 LFA3	Homo sapiens (Human)	250
Q16832	DDR2_HUMAN	reviewed	"Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)"	DDR2 NTRKR3 TKT TYRO10	Homo sapiens (Human)	855
P11912	CD79A_HUMAN	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a)	CD79A IGA MB1	Homo sapiens (Human)	226
P01732	CD8A_HUMAN	reviewed	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	CD8A MAL	Homo sapiens (Human)	235
Q8N423	LIRB2_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily B member 2 (LIR-2) (Leukocyte immunoglobulin-like receptor 2) (CD85 antigen-like family member D) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD antigen CD85d)	LILRB2 ILT4 LIR2 MIR10	Homo sapiens (Human)	598
P08637	FCG3A_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor III-A (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	FCGR3A CD16A FCG3 FCGR3 IGFR3	Homo sapiens (Human)	254
O43699	SIGL6_HUMAN	reviewed	Sialic acid-binding Ig-like lectin 6 (Siglec-6) (CD33 antigen-like 1) (CDw327) (Obesity-binding protein 1) (OB-BP1) (CD antigen CD327)	SIGLEC6 CD33L CD33L1 OBBP1	Homo sapiens (Human)	453
P08195	4F2_HUMAN	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	SLC3A2 MDU1	Homo sapiens (Human)	630
Q13241	KLRD1_HUMAN	reviewed	Natural killer cells antigen CD94 (KP43) (Killer cell lectin-like receptor subfamily D member 1) (NK cell receptor) (CD antigen CD94)	KLRD1 CD94	Homo sapiens (Human)	179
P09326	CD48_HUMAN	reviewed	CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)	CD48 BCM1 BLAST1	Homo sapiens (Human)	243
P04440	DPB1_HUMAN	reviewed	"HLA class II histocompatibility antigen, DP beta 1 chain (HLA class II histocompatibility antigen, DP(W4) beta chain) (MHC class II antigen DPB1)"	HLA-DPB1 HLA-DP1B	Homo sapiens (Human)	258
Q9NPF0	CD320_HUMAN	reviewed	CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320)	CD320 8D6A UNQ198/PRO224	Homo sapiens (Human)	282
P43626	KI2L1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (MHC class I NK cell receptor) (Natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a)	KIR2DL1 CD158A NKAT1	Homo sapiens (Human)	348
P16109	LYAM3_HUMAN	reviewed	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	SELP GMRP GRMP	Homo sapiens (Human)	830
P43628	KI2L3_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL3 (CD158 antigen-like family member B2) (KIR-023GB) (Killer inhibitory receptor cl 2-3) (MHC class I NK cell receptor) (NKAT2a) (NKAT2b) (Natural killer-associated transcript 2) (NKAT-2) (p58 natural killer cell receptor clone CL-6) (p58 NK receptor CL-6) (p58.2 MHC class-I-specific NK receptor) (CD antigen CD158b2)	KIR2DL3 CD158B2 KIRCL23 NKAT2	Homo sapiens (Human)	341
